Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,II,5327095,252659,11.04.03.0,8848,1411,C,C,2,A,01,,CONN,,,,11.04.03.3,5A,,,,,
,,,,,,,C,,2,B,01,,CONN,,,,11.04.03.3,1A,,,,,
,,,,,,,C,,2,C,01,,CONN,,,,11.04.03.3,2B,,,,,Verified using Sheet
,,,,,,,C,,2,D,01,,CONN,,,,11.04.03.3,3C,,,,,
,,,,,,,C,,2,E,01,,CONN,,,,11.04.03.3,4D,,,,,
,,,,,,,C,,2,F,01,,CONN,,,,11.04.03.3,5E,,,,,
,,,,,,,C,,2,G,01,,CONN,,,,11.04.03.3,1E,,,,,
,,,,,,,C,,2,H,01,,CONN,,,,11.04.03.3,4F,,,,,
,,,,,,,C,,2,J,01,,CONN,,,,11.04.03.3,1F,,,,,
,,,,,,,C,,2,K,01,,CONN,,,,11.04.03.3,3G,,,,,
,,,,,,,C,,2,A,02,,DFS,0370234,,,11.30.01.1,1B,,,,7 8,Identified using Sheet
,,,,,,,C,,2,A,02,,DFS,0370234,,,11.30.01.1,5C,,,,7 8,Identified using Sheet
,,,,,,,C,,2,A,02,,DFS,0370234,,,11.30.02.1,2B,,,,7 8,Identified using Sheet
,,,,,,,C,,2,A,02,,DFS,0370234,,,11.30.02.1,2D,,,,7 8,Identified using Sheet
,,,,,,,C,,2,A,02,,DFS,0370234,,,11.30.02.1,2F,,,,7 8,Identified using Sheet
,,,,,,,C,,2,B,02,,CONN,,,,11.04.03.3,5B,,,,,
,,,,,,,C,,2,C,02,,CONN,,,,11.04.03.3,1B,,,,,
,,,,,,,C,,2,D,02,,CONN,,,,11.04.03.3,2C,,,,,
,,,,,,,C,,2,E,02,,CONN,,,,11.04.03.3,3D,,,,,
,,,,,,,C,,2,F,02,,CONN,,,,11.04.03.3,4E,,,,,
,,,,,,,C,,2,G,02,,DMX,0370897,,,16.13.02.1,2D,,,,,
,,,,,,,C,,2,G,02,,DMX,0370897,,,16.13.02.1,4A,,,,,
,,,,,,,C,,2,G,02,,DMX,0370897,,,16.13.02.1,4C,,,,,
,,,,,,,C,,2,G,02,,DMX,0370897,,,16.13.02.1,4E,,,,,
,,,,,,,C,,2,H,02,,CONN,,,,11.04.03.3,3F,,,,,
,,,,,,,C,,2,J,02,,DGK,0370251,,,11.10.01.1,3G,,,,,
,,,,,,,C,,2,J,02,,DGK,0370251,,,11.10.01.1,4G,,,,,
,,,,,,,C,,2,K,02,,YLF,0372293,,,11.10.06.1,4I,,,,,
,,,,,,,C,,2,K,02,,YLF,0372293,,,16.20.21.1,2F,,,,,
,,,,,,,C,,2,K,02,,YLF,0372293,,,16.20.22.1,2F,,,,,
,,,,,,,C,,2,A,03,,DFE,0370201,Z0,,16.40.01.1,3D,,,,1 2,
,,,,,,,C,,2,A,03,,DFE,0370201,Z0,,16.40.01.1,5D,,,,1 2,
,,,,,,,C,,2,B,03,,DFB,0370206,Z0,,16.40.01.1,5C,,,,,Identified using Sheet
,,,,,,,C,,2,B,03,,DFB,0370206,Z0,,16.40.01.1,3C,,,,,Identified using Sheet
,,,,,,,C,,2,B,03,,DFB,0370206,Z0,,16.40.01.1,2C,,,,,Identified using Sheet
,,,,,,,C,,2,B,03,,DFB,0370206,Z0,,16.40.01.1,4D,,,,,Identified using Sheet
,,,,,,,C,,2,B,03,,DFB,0370206,Z0,,16.40.01.1,4H,,,,,Identified using Sheet
,,,,,,,C,,2,B,03,,DFB,0370206,Z0,,16.40.01.1,5I,,,,,Identified using Sheet
,,,,,,,C,,2,C,03,,AEK,0370215,,,11.10.36.1,3C,,,,,
,,,,,,,C,,2,C,03,,AEK,0370215,,,16.20.15.1,4H,,,,,
,,,,,,,C,,2,C,03,,AEK,0370215,,,16.30.04.1,2I,,,,,
,,,,,,,C,,2,D,03,,DAC,0371951,,,16.20.02.1,4B,,,,,
,,,,,,,C,,2,D,03,,DAC,0371951,,,16.20.11.1,3F,,,,,
,,,,,,,C,,2,D,03,,DAC,0371951,,,16.20.12.1,5F,,,,,
,,,,,,,C,,2,E,03,,YLD,0372287,,,16.20.10.1,3G,,,,,Identified using Sheet
,,,,,,,C,,2,E,03,,YLD,0372287,,,16.20.13.1,1C,,,,,Identified using Sheet
,,,,,,,C,,2,E,03,,YLD,0372287,,,16.20.13.1,5E,,,,,Identified using Sheet
,,,,,,,C,,2,E,03,,YLD,0372287,,,16.20.13.1,3E,,,,,Identified using Sheet
,,,,,,,C,,2,E,03,,YLD,0372287,,,16.30.05.1,2E,,,,,Identified using Sheet
,,,,,,,C,,2,E,03,,YLD,0372287,,,16.42.01.1,4F,,,,,Identified using Sheet
,,,,,,,C,,2,F,03,,DMX,0370897,,,16.13.04.1,2D,,,,,
,,,,,,,C,,2,F,03,,DMX,0370897,,,16.13.04.1,4A,,,,,
,,,,,,,C,,2,F,03,,DMX,0370897,,,16.13.04.1,4C,,,,,
,,,,,,,C,,2,F,03,,DMX,0370897,,,16.13.04.1,4E,,,,,
,,,,,,,C,,2,G,03,,DMX,0370897,,,16.13.02.1,4G,,,,,
,,,,,,,C,,2,G,03,,DMX,0370897,,,16.13.02.1,4I,,,,,
,,,,,,,C,,2,G,03,,DMX,0370897,,,16.13.03.1,4A,,,,,
,,,,,,,C,,2,G,03,,DMX,0370897,,,16.13.03.1,4C,,,,,
,,,,,,,C,,2,H,03,,DMY,0370898,,,16.13.01.1,3A,,,,,
,,,,,,,C,,2,H,03,,DMY,0370898,,,16.13.01.1,3B,,,,,
,,,,,,,C,,2,H,03,,DMY,0370898,,,16.13.01.1,3C,,,,,
,,,,,,,C,,2,J,03,,DFE,0370201,Z0,,11.10.02.1,4C,,,,,
,,,,,,,C,,2,J,03,,DFE,0370201,Z0,,11.10.02.1,5C,,,,,
