Volume Set,Volume,Part Number,E.C.,Card Code,Gate Number,T##,Logic Family,IBM +,IBM -,Logic,Latch,O.C.,Input Lev.,Output Lev.,Defining Pin,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Name
,,370204,116193,DFD,2,,SDTRL,+A,-O,NAND,G3,,S,,H,,,,,,,O,H,,,,,,,,,G1,,"I,O",,,,,,,,,,
,,370204,116193,DFD,3,,SDTRL,+A,-O,NAND,G2,,S,,B,O,B,,,,,,,,,,,,,,,,"I,O",,,,,,,,,,,
,,370204,116193,DFD,4,,SDTRL,+A,-O,NAND,,,S,,P,,,,,,,,,,,,,,P,Q,,,,,,O,,,,,,,,
,,370204,116193,DFD,5,,SDTRL,+A,-O,NAND,G6,,S,,K,,,O,,,,,,,K,,,,,,,,,,G4,,"I,O",,,,,,,
,,370204,116193,DFD,6,,SDTRL,+A,-O,NAND,G5,,S,,L,,,,O,,,,,,,L,,,,,,,,,,"I,O",,,,,,,,
,,370205,116194,DFC,1,,SDTRL,+A,-O,NAND,,,S,,A,A,B,,,,O,G,,,,,,,,,,,,,,,,,,,,,,MUP NUMBER 14
,,370205,116194,DFC,2,,SDTRL,+A,-O,NAND,,,S,,H,,,O,,,,G,H,,,,,,P,,,,,,,,,,,,,,,
,,370205,116194,DFC,3,,SDTRL,+A,-O,NAND,,,S,,K,,,,,O,,G,,,K,L,,,,,,,,,,,,,,,,,,
,,370205,116194,DFC,4,,SDTRL,+A,-O,NAND,,,S,,Q,,,,O,,,G,,,,,,,,Q,R,,,,,,,,,,,,,
,,370206,116194,DFB,1,,SDTRL,+A,-O,NAND,,,S,,P,,,,,,,,,,,,,,P,Q,R,,O,,,,,,,,,,,MUP NUMBER 13
,,370206,116194,DFB,2,,SDTRL,+A,-O,NAND,,,S,,C,,,C,O,,,,,,,,,,,,,G1,,,,,,,,,,,,
,,370206,116194,DFB,3,,SDTRL,+A,-O,NAND,,,S,,A,A,B,,,,,,,,,,,,,,,,,,,,O,,,,,,,
,,370206,116194,DFB,4,,SDTRL,+A,-O,NAND,,,S,,K,,,,,,,,,,K,L,,,,,,,,,,O,,,,,,,,
,,370206,116194,DFB,5,,SDTRL,+A,-O,NAND,,OC,S,,E,,,,,E,O,,,,,,,,,,,,,,G4,,,,,,,,,
,,370206,116194,DFB,6,,SDTRL,+A,-O,NAND,,OC,S,,H,,,,,,,O,H,,,,,,,,,,,G3,,,,,,,,,,
,,370207,115990,DEZ,1,,SDTRL,T,T,Trigger,G2,,S,,A,A,B,,,O,,G,,,,,,,,,,,"I,O",,,,,,,,,,,SDTRL MUP NUMBER 11
,,370207,115990,DEZ,2,,SDTRL,T,T,Trigger,G1,,S,,F,,,,,,F,G,O,,,,,,,,,"I,O",,,,,,,,,,,,
