Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,II,5327099,255117,11.04.07.0,8848,1411,D,D,3,A,01,,CONN,,,,11.04.08.3,5A,,,,,
,,,,,,,,,,B,01,,CONN,,,,11.04.08.3,5D,,,,,
,,,,,,,,,,C,01,,CONN,,,,11.04.08.3,2D,,,,,
,,,,,,,,,,D,01,,DFK,0370231,B1,,13.70.03.1,4A,,,,4 5 6,
,,,,,,,,,,D,01,,DFK,0370231,B1,,13.70.03.1,4B,,,,4 5 6,
,,,,,,,,,,D,01,,DFK,0370231,B1,,13.70.03.1,4C,,,,4 5 6,
,,,,,,,,,,E,01,,CONN,,,,11.04.08.3,3E,,,,,
,,,,,,,,,,F,01,,CONN,,,,11.04.08.3,5F,,,,,
,,,,,,,,,,G,01,,CONN,,,,11.04.08.3,1F,,,,,
,,,,,,,,,,H,01,,CONN,,,,11.04.08.3,4G,,,,,
,,,,,,,,,,J,01,,CONN,,,,11.04.08.3,1G,,,,,
,,,,,,,,,,K,01,,CONN,,,,11.04.08.3,4H,,,,,
,,,,,,,,,,A,02,,RESERVED,,,,,,X,,,SPEC ENG,
,,,,,,,,,,B,02,,CONN,,,,11.04.08.3,4D,,,,,
,,,,,,,,,,C,02,,CONN,,,,11.04.08.3,1D,,,,,
,,,,,,,,,,D,02,,DAW,0370083,Z0,,12.12.60.1,2G,,,,4,
,,,,,,,,,,D,02,,DAW,0370083,Z0,,13.71.04.1,4E,,,,4,
,,,,,,,,,,D,02,,DAW,0370083,Z0,,13.71.04.1,4G,,,,4,
,,,,,,,,,,E,02,,CONN,,,,11.04.08.3,2E,,,,,
,,,,,,,,,,F,02,,CONN,,,,11.04.08.3,4F,,,,,
,,,,,,,,,,G,02,,DAX,0370084,,,13.42.10.1,2I,,,,5,
,,,,,,,,,,G,02,,DAX,0370084,,,15.55.09.1,3B,,,,5,
,,,,,,,,,,G,02,,DAX,0370084,,,15.55.09.1,3D,,,,5,
,,,,,,,,,,G,02,,DAX,0370084,,,15.55.09.1,3F,,,,5,
