Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,II,5327098,253131,11.04.06.0,8847,1411,D,D,1,A,01,,CONN,,,,11.04.06.3,5A,,,,,
,,,,,,,,,,B,01,,CONN,,,,11.04.06.3,4B,,,,,
,,,,,,,,,,C,01,,CONN,,,,11.04.06.3,4C,,,,,
,,,,,,,,,,D,01,,CONN,,,,11.04.06.3,5D,,,,,
,,,,,,,,,,E,01,,CONN,,,,11.04.06.3,2D,,,,,
,,,,,,,,,,F,01,,CONN,,,,11.04.06.3,3E,,,,,
,,,,,,,,,,G,01,,CONN,,,,11.04.06.3,4F,,,,,
,,,,,,,,,,H,01,,CONN,,,,11.04.06.3,4G,,,,,
,,,,,,,,,,J,01,,CONN,,,,11.04.06.3,5H,,,,,
,,,,,,,,,,K,01,,CONN,,,,11.04.06.3,1H,,,,,
,,,,,,,,,,A,02,,CONN,,,,11.04.06.3,4A,,,,,
,,,,,,,,,,B,02,,CONN,,,,11.04.06.3,3B,,,,,
,,,,,,,,,,C,02,,CONN,,,,11.04.06.3,3C,,,,,
,,,,,,,,,,D,02,,CONN,,,,11.04.06.3,4D,,,,,
,,,,,,,,,,E,02,,CONN,,,,11.04.06.3,1D,,,,,
,,,,,,,,,,F,02,,CONN,,,,11.04.06.3,2E,,,,,
,,,,,,,,,,G,02,,CONN,,,,11.04.06.3,3F,,,,,
,,,,,,,,,,H,02,,CONN,,,,11.04.06.3,3G,,,,,
,,,,,,,,,,J,02,,CONN,,,,11.04.06.3,4H,,,,,
,,,,,,,,,,K,02,,CONN,,,,11.04.06.3,5I,,,,,
,,,,,,,,,,A,03,,CABL,,,,11.04.06.3,3A,,,,,
,,,,,,,,,,B,03,,RESERVED,,,,,,X,,,COUNTER,
,,,,,,,,,,C,03,,DAC,0371951,,,12.15.03.1,2C,,,,,
,,,,,,,,,,C,03,,DAC,0371951,,,12.15.04.1,4A,,,,,
,,,,,,,,,,C,03,,DAC,0371951,,,12.60.01.1,4I,,,,,
,,,,,,,,,,D,03,,DEW,0370211,,,13.10.01.1,3D,,,,,Identified Using Sheet
,,,,,,,,,,D,03,,DEW,0370211,,,13.10.03.1,5B,,,,,Identified Using Sheet
,,,,,,,,,,D,03,,DEW,0370211,,,13.10.03.1,5C,,,,,Identified Using Sheet
,,,,,,,,,,D,03,,DEW,0370211,,,13.10.03.1,5E,,,,,Identified Using Sheet
,,,,,,,,,,D,03,,DEW,0370211,,,13.10.03.1,5F,,,,,Identified Using Sheet
,,,,,,,,,,D,03,,DEW,0370211,,,13.10.03.1,5H,,,,,Identified Using Sheet
,,,,,,,,,,E,03,,DEW,0370211,,,13.10.01.1,3B,,,,,Identified Using Sheet
,,,,,,,,,,E,03,,DEW,0370211,,,13.10.02.1,5B,,,,,Identified Using Sheet
,,,,,,,,,,E,03,,DEW,0370211,,,13.10.02.1,5C,,,,,Identified Using Sheet
,,,,,,,,,,E,03,,DEW,0370211,,,13.10.02.1,5E,,,,,Identified Using Sheet
,,,,,,,,,,E,03,,DEW,0370211,,,13.10.02.1,5F,,,,,Identified Using Sheet
,,,,,,,,,,E,03,,DEW,0370211,,,13.10.02.1,5H,,,,,Identified Using Sheet
,,,,,,,,,,F,03,,TAU,0370129,,,12.15.03.1,1C,,,,,
,,,,,,,,,,F,03,,TAU,0370129,,,12.15.03.1,5C,,,,,
,,,,,,,,,,F,03,,TAU,0370129,,,13.10.02.1,5I,,,,,
,,,,,,,,,,F,03,,TAU,0370129,,,13.10.03.1,5I,,,,,
,,,,,,,,,,G,03,,DEW,0370211,,,13.12.01.1,5C,,,,,Identified Using Sheet
,,,,,,,,,,G,03,,DEW,0370211,,,13.12.01.1,5D,,,,,Identified Using Sheet
,,,,,,,,,,G,03,,DEW,0370211,,,13.12.01.1,5G,,,,,Identified Using Sheet
,,,,,,,,,,G,03,,DEW,0370211,,,13.12.01.1,5H,,,,,Identified Using Sheet
,,,,,,,,,,G,03,,DEW,0370211,,,13.12.02.1,5B,,,,,Identified Using Sheet
,,,,,,,,,,G,03,,DEW,0370211,,,15.38.04.1,2G,,,,,Identified Using Sheet
,,,,,,,,,,H,03,,TAU,0370129,,,13.12.03.1,5B,,,,5,
,,,,,,,,,,H,03,,TAU,0370129,,,13.12.03.1,5C,,,,5,
,,,,,,,,,,H,03,,TAU,0370129,,,13.12.03.1,5F,,,,5,
,,,,,,,,,,H,03,,TAU,0370129,,,15.38.04.1,2A,,,,5,
,,,,,,,,,,J,03,,CABL,,,,11.04.06.3,3H,,,,,
,,,,,,,,,,K,03,,CABL,,,,11.04.06.3,4I,,,,,
,,,,,,,,,,A,04,,DFP,0370228,,,12.60.01.1,2E,,,,2 3,
,,,,,,,,,,A,04,,DFP,0370228,,,12.60.01.1,4D,,,,2 3,
,,,,,,,,,,A,04,,DFP,0370228,,,12.60.01.1,4E,,,,2 3,
,,,,,,,,,,A,04,,DFP,0370228,,,12.60.01.1,4F,,,,2 3,
,,,,,,,,,,B,04,,DFP,0370228,Z0,,12.60.18.1,2B,,,,2 3,
,,,,,,,,,,B,04,,DFP,0370228,Z0,,12.60.18.1,4A,,,,2 3,
,,,,,,,,,,B,04,,DFP,0370228,Z0,,12.60.18.1,4B,,,,2 3,
,,,,,,,,,,B,04,,DFP,0370228,Z0,,12.60.18.1,4C,,,,2 3,
,,,,,,,,,,C,04,,DEU,0370200,Z0,,12.60.18.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,C,04,,DEU,0370200,Z0,,12.60.18.1,2E,,,,,Identified Using Sheet
,,,,,,,,,,C,04,,DEU,0370200,Z0,,12.60.18.1,4E,,,,,Identified Using Sheet
,,,,,,,,,,C,04,,DEU,0370200,Z0,,12.60.18.1,4F,,,,,Identified Using Sheet
,,,,,,,,,,C,04,,DEU,0370200,Z0,,12.60.19.1,2E,,,,,Identified Using Sheet
,,,,,,,,,,C,04,,DEU,0370200,Z0,,13.13.06.1,1E,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,2D,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,2E,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,3E,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,4E,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,2G,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,2H,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,3H,,,,,Identified Using Sheet
,,,,,,,,,,D,04,,DFA,0370224,,,13.10.03.1,4H,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.02.1,2G,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.02.1,2H,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.02.1,3H,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.02.1,4H,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.03.1,2A,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.03.1,2B,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.03.1,3B,,,,,Identified Using Sheet
,,,,,,,,,,E,04,,DFA,0370224,,,13.10.03.1,4B,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,2A,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,2B,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,3B,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,4B,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,2D,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,2E,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,3E,,,,,Identified Using Sheet
,,,,,,,,,,F,04,,DFA,0370224,,,13.10.02.1,4E,,,,,Identified Using Sheet
,,,,,,,,,,G,04,,DEW,0370211,,,13.12.02.1,5C,,,,6,Identified Using Sheet
,,,,,,,,,,G,04,,DEW,0370211,,,13.12.02.1,5E,,,,6,Identified Using Sheet
,,,,,,,,,,G,04,,DEW,0370211,,,13.12.02.1,5F,,,,6,Identified Using Sheet
,,,,,,,,,,G,04,,DEW,0370211,,,13.12.02.1,5H,,,,6,Identified Using Sheet
,,,,,,,,,,G,04,,DEW,0370211,,,13.12.02.1,5I,,,,6,Identified Using Sheet
,,,,,,,,,,H,04,,DFC,0370205,,,13.12.02.1,4E,,,,,
