Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,II,5327509,255117,11.04.09.0,8848,1411,D,D,4,A,01,,CONN,,,,11.04.09.3,5A,,,,,
,,,,,,,,,,B,01,,CONN,,,,11.04.09.3,3B,,,,,
,,,,,,,,,,C,01,,CONN,,,,11.04.09.3,3C,,,,,
,,,,,,,,,,D,01,,CONN,,,,11.04.09.3,2C,,,,,
,,,,,,,,,,E,01,,CONN,,,,11.04.09.3,1C,,,,,
,,,,,,,,,,F,01,,CONN,,,,11.04.09.3,5D,,,,,
,,,,,,,,,,G,01,,CONN,,,,11.04.09.3,3D,,,,,
,,,,,,,,,,H,01,,CONN,,,,11.04.09.3,2D,,,,,
,,,,,,,,,,J,01,,CONN,,,,11.04.09.3,1D,,,,,
,,,,,,,,,,K,01,,EMPTY,,,,,,X,,,,
,,,,,,,,,,A,02,,CONN,,,,11.04.09.3,4A,,,,,
,,,,,,,,,,B,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,C,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,D,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,E,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,F,02,,CONN,,,,11.04.09.3,4D,,,,,
,,,,,,,,,,G,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,H,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,J,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,K,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,A,03,,EMPTY,,,,,,X,,,,
,,,,,,,,,,B,03,,EMPTY,,,,,,X,,,,
,,,,,,,,,,C,03,,RESERVED,,,,,,X,,,COUNTER,
,,,,,,,,,,D,03,,RESERVED,,,,,,X,,,COUNTER,
,,,,,,,,,,E,03,,DFE,0370201,L2,,12.12.67.1,3F,,,,,
,,,,,,,,,,E,03,,DFE,0370201,L2,,13.66.02.1,5A,,,,,
,,,,,,,,,,E,03,,DFE,0370201,L2,,13.66.02.1,5B,,,,,
,,,,,,,,,,E,03,,DFE,0370201,L2,,13.66.05.1,2A,,,,,
,,,,,,,,,,F,03,,DGR,0370258,L2,,12.12.65.1,1G,,,,2 4,Identified Using Sheet
,,,,,,,,,,F,03,,DGR,0370258,L2,,15.63.05.1,2B,,,,2 4,Identified Using Sheet
,,,,,,,,,,F,03,,DGR,0370258,L2,,15.63.05.1,3B,,,,2 4,Identified Using Sheet
,,,,,,,,,,F,03,,DGR,0370258,L2,,15.70.01.1,1C,,,,2 4,Identified Using Sheet
,,,,,,,,,,F,03,,DGR,0370258,L2,,15.70.01.1,1E,,,,2 4,Identified Using Sheet
,,,,,,,,,,G,03,,DFE,0370201,L2,,15.56.04.1,3A,,,,,
,,,,,,,,,,G,03,,DFE,0370201,L2,,15.56.04.1,4A,,,,,
,,,,,,,,,,G,03,,DFE,0370201,L2,,15.56.04.1,4B,,,,,
,,,,,,,,,,G,03,,DFE,0370201,L2,,15.56.08.1,5D,,,,,
,,,,,,,,,,H,03,,DFD,0370204,L2,,15.70.21.1,2B,,,,,Identified Using Sheet
,,,,,,,,,,H,03,,DFD,0370204,L2,,15.70.21.1,3B,,,,,Identified Using Sheet
,,,,,,,,,,H,03,,DFD,0370204,L2,,15.70.21.1,4B,,,,,Identified Using Sheet
,,,,,,,,,,H,03,,DFD,0370204,L2,,15.70.22.1,2B,,,,,Identified Using Sheet
,,,,,,,,,,H,03,,DFD,0370204,L2,,15.70.22.1,3B,,,,,Identified Using Sheet
,,,,,,,,,,H,03,,DFD,0370204,L2,,15.70.22.1,4B,,,,,Identified Using Sheet
,,,,,,,,,,J,03,,DEW,0370211,L2,,13.66.05.1,3I,,,,,Identified Using Sheet
,,,,,,,,,,J,03,,DEW,0370211,L2,,15.70.01.1,4C,,,,,Identified Using Sheet
,,,,,,,,,,J,03,,DEW,0370211,L2,,15.70.02.1,4C,,,,,Identified Using Sheet
,,,,,,,,,,J,03,,DEW,0370211,L2,,15.70.03.1,4C,,,,,Identified Using Sheet
,,,,,,,,,,J,03,,DEW,0370211,L2,,15.70.04.1,4C,,,,,Identified Using Sheet
,,,,,,,,,,J,03,,DEW,0370211,L2,,15.70.05.1,4C,,,,,Identified Using Sheet
,,,,,,,,,,K,03,,DGA,0370242,F5,,15.70.01.1,2E,,,,,
,,,,,,,,,,K,03,,DGA,0370242,F5,,15.70.02.1,2E,,,,,
,,,,,,,,,,K,03,,DGA,0370242,F5,,15.70.03.1,2E,,,,,
,,,,,,,,,,K,03,,DGA,0370242,F5,,15.70.04.1,2E,,,,,
,,,,,,,,,,A,04,,EMPTY,,,,,,X,,,,
,,,,,,,,,,B,04,,EMPTY,,,,,,X,,,,
,,,,,,,,,,C,04,,RESERVED,,,,,,X,,,COUNTER,
,,,,,,,,,,D,04,,DGR,0370258,L2,,12.12.67.1,1D,,,,6 7,Identified Using Sheet
,,,,,,,,,,D,04,,DGR,0370258,L2,,13.64.03.1,,X,,,6 7,Missing Sheet
,,,,,,,,,,D,04,,DGR,0370258,L2,,13.64.03.1,,X,,,6 7,Missing Sheet
,,,,,,,,,,D,04,,DGR,0370258,L2,,13.66.04.1,2E,,,,6 7,Identified Using Sheet
,,,,,,,,,,D,04,,DGR,0370258,L2,,13.66.04.1,2H,,,,6 7,Identified Using Sheet
,,,,,,,,,,E,04,,DFE,0370201,L2,,13.64.07.1,4H,,,,,
,,,,,,,,,,E,04,,DFE,0370201,L2,,13.66.02.1,4D,,,,,
,,,,,,,,,,E,04,,DFE,0370201,L2,,13.66.02.1,4E,,,,,
,,,,,,,,,,F,04,,DFS,0370234,L2,,12.12.67.1,4A,,,,6,Identified Using Sheet
,,,,,,,,,,F,04,,DFS,0370234,L2,,15.56.08.1,1A,,,,6,Identified Using Sheet
,,,,,,,,,,F,04,,DFS,0370234,L2,,15.56.08.1,1B,,,,6,Identified Using Sheet
,,,,,,,,,,F,04,,DFS,0370234,L2,,15.63.02.1,4B,,,,6,Identified Using Sheet
,,,,,,,,,,F,04,,DFS,0370234,L2,,13.73.01.1,2A,,,,6,Identified Using Sheet
,,,,,,,,,,G,04,,DFE,0370201,L2,,15.56.04.1,3D,,,,,
