,,,,,1410 CONFIGURATION TIE DOWN LIST - TIE DOWN PIN LIST TO GROUND,,,,,
Machine,Machine Serial,LOGIC SOURCE,CARD CAP CODE,LOCATION,PIN,OTHER PIN,APPLIES TO MACHINES WITHOUT,CHECKED,APPLIES TO MACHINES WITH,NOTE
1411,Kornylak-2010,15.41.12.1,TAU,11C3B19,P,,B1,,,
,,15.41.12.1,DAC,11C3H25,D,,B1,,,
,,14.70.14.1,DEU,11D1A16,D,,B1,,,
,,14.70.14.1,TAU,11D1J17,G,,B1,,,
,,14.70.14.1,DAC,11D1J22,C,,B1,,,
,,13.70.03.1,DFS,11D3C13,H,,B1,,,
,,13.70.02.1,DEZ,11D3C18,C,,B1,,,
,,13.70.04.1,DHE,11D3C26,P,,B1,,,
,,13.70.03.1,DEZ,11D3D03,E,,B1,,,
,,13.70.02.1,TAU,11D3D11,C,,B1,,,
,,13.60.04.1,TAU,11D3D12,G,,B1,,,
,,13.70.04.1,DAC,11D3E14,C,,B1,,,
,,13.65.01.1,DAC,11D3E19,D,,B1,,,
,,13.65.07.1,TAU,11D3E23,K,,B1,,,
,,13.60.04.1,DEY,11D3F03,G,,B1,,,
,,13.60.03.1,DFS,11D3G18,D,,B1,,,
,,12.62.04.1,DAC,11D3H12,D,,B1,,,
,,14.15.21.1,TAU,11B2C22,C,,C1,X,,
,,13.72.04.1,DAC,11D3E27,E,,F0,,,
,,13.72.01.1,DEY,11D2D09,C,,F1,X,,
,,13.72.01.1,DFS,11D2E10,C,,F1,X,,
,,13.72.03.1,DFS,11D2E10,R,,F1,X,,
,,12.62.04.1,DAW,11D3G26,E,,F1,X,,
,,13.72.04.1,TAU,11D3H10,C,,F1,X,,
,,13.72.03.1,DAC,11D2E15,D,,F2,X,,
,,13.63.03.1,DFE,11D3H24,G,,F2,X,,
,,12.12.60.1,DAC,11D3J15,D,,F3,X,,
,,13.64.05.1,DFS,11D4A22,D,,F5,,,
,,13.73.01.1,DFS,11D4A22,G,,F5,,,
,,13.73.01.1,DEY,11D4B23,D,,F5,,,
,,13.73.03.1,DFK,11D4A21,L,,F6,X,,
,,13.74.01.1,DAC,11D2B11,D,,F8,X,,
,,13.74.01.1,DAC,11D2D04,D,,F8,X,,
,,13.74.01.1,DAC,11D2D04,E,,F8,X,,
,,13.74.01.1,DFS,11D2E03,B,,F8,X,,
,,13.74.01.1,DFS,11D2E03,D,,F8,X,,
,,13.65.02.1,DAC,11D3C04,D,,F8,X,,
,,13.63.03.1,TAU,11D3H25,K,,F8,X,,
,,12.12.67.1,DGR,11D4C11,K,,F8,X,,
,,24.02.03.1,TAU,11F6A18,C,,K5,X,,
,,11.10.20.1,DEY,11C2J26,D,,L1,,,
,,11.10.25.1,DEY,11C2K14,D,,L1,,,
,,13.60.04.1,DFS,11D3B08,D,,L1,,,
,,13.63.01.1,DAC,11D3J26,E,,L1,,,
,,14.71.25.1,DFE,11C1B18,B,,L2,,,
,,14.71.25.1,DFE,11C1B18,F,,L2,,,
,,18.14.01.1,DAX,11D2C06,L,,L2,,,
,,13.72.06.1,TAU,11D2E09,A,,L2,,F10,
,,13.64.08.1,DGR,11D3A28,A,,L2,,,
,,12.12.67.1,DGR,11D3A28,P,,L2,,,
,,13.64.08.1,DFA,11D3B28,E,,L2,,,
,,13.66.05.1,DFA,11D3C28,D,,L2,,,
,,13.66.05.1,DFA,11D3C28,E,,L2,,,
,,13.66.03.1,DFA,11D3F28,D,,L2,,,
,,13.64.08.1,DFA,11D3F28,M,,L2,,,
,,13.66.01.1,DFA,11D3G28,O,,L2,,,
,,13.66.01.1,DFA,11D3H28,A,,L2,,,
,,12.12.67.1,DFS,11D3H28,H,,L2,,,
,,12.62.02.1,TAU,11D3F05,K,,M1,,,
,,13.50.07.1,DFS,11D3G20,G,,M1,,,
,,13.64.05.1,DFS,11D4F14,D,,M5,,,
,,13.64.05.1,DFS,11D4F14,F,,M5,,,
,,13.66.05.1,TAU,11D4K24,G,,M5,,,
,,13.74.05.1,DAC,11D2G16,E,,R1,,L1,
,,39.50.70.1,DEG,11B4K12,P,,S2,,,
,,19.10.09.1,DES,11B4G24,C,,Y1,,,
,,19.10.04.1,DFK,11B4K19,B,,Y1,,,
,,14.71.34.1,DAX,11C1K06,L,,Y1,,,
,,13.12.18.1,DFS,11D1H11,E,,Y1,,,
,,13.13.07.1,DFK,11D1J13,L,,Y1,,,
,,14.18.16.1,DAC,11B2K19,E,,Z1,,,
,,14.18.16.1,DAC,11B2K19,L,,Z1,,,
,,14.18.15.1,DFE,11B2K24,G,,Z1,,,
,,13.72.06.1,TAU,11D2H16,A,,L2,,F10,
,,15.38.04.1,TAU,11D1J17,P,,,,,ACCELERATED THRUPUT FEATURE
,,12.60.15.1,DFP,11D1C23,H,F,L2,,,CONNECT C23H TO C23F (NOT GROUND)
