Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,IX,5327092,252643,25.04.02.0,8841,1411,B,B,3,A,01,B,1107,0536456,,,32.12.06.1,2B,,,,DOUBLE CAR,
,,,,,,,,,,A,01,B,1107,0536456,,,32.12.06.1,2C,,,,DOUBLE CAR,
,,,,,,,,,,B,01,A,1107,0536456,,,,,X,,,DOUBLE CAR,
,,,,,,,,,,C,01,D,1107,0536456,,,34.12.03.1,2A,,,,DOUBLE CAR,
,,,,,,,,,,C,01,D,1107,0536456,,,34.12.03.1,2B,,,,DOUBLE CAR,
,,,,,,,,,,D,01,C,1107,0536456,,,,,X,,,DOUBLE CAR,
,,,,,,,,,,E,01,,DFY,0370239,,,32.11.01.1,5I,,,,,
,,,,,,,,,,F,01,,DFY,0370239,,,34.11.01.1,2A,,,,,
,,,,,,,,,,G,01,,CONN,,,,,,X,,,,
,,,,,,,,,,H,01,,CONN,,,,,,X,,,,
,,,,,,,,,,J,01,,DFW,0370237,S4,,37.11.04.1,4H,,,,,
,,,,,,,,,,K,01,,DFW,0370237,S4,,37.11.04.1,2H,,,,,
,,,,,,,,,,A,02,B,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,B,02,A,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,C,02,D,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,D,02,C,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,E,02,,DFY,0370239,,,32.11.01.1,4I,,,,,
,,,,,,,,,,F,02,,DFY,0370239,,,34.11.01.1,1A,,,,,
,,,,,,,,,,G,02,,CONN,,,,,,X,,,,
,,,,,,,,,,H,02,,CONN,,,,,,X,,,,
,,,,,,,,,,J,02,,DFW,0370237,S4,,37.11.04.1,4G,,,,,
,,,,,,,,,,K,02,,DFW,0370237,S4,,37.11.04.1,2G,,,,,
,,,,,,,,,,A,03,B,1107,0536456,,,32.12.05.1,2G,,,,DOUBLE CAR,
,,,,,,,,,,A,03,B,1107,0536456,,,32.12.05.1,2H,,,,DOUBLE CAR,
,,,,,,,,,,B,03,A,1107,0536456,,,,,X,,,DOUBLE CAR,
,,,,,,,,,,C,03,D,1107,0536456,,,34.12.03.1,2D,,,,DOUBLE CAR,
,,,,,,,,,,C,03,D,1107,0536456,,,34.12.03.1,2E,,,,DOUBLE CAR,
,,,,,,,,,,D,03,C,1107,0536456,,,,,X,,,DOUBLE CAR,
,,,,,,,,,,E,03,,DFY,0370239,,,32.11.01.1,2I,,,,,
,,,,,,,,,,F,03,,DFY,0370239,,,34.11.01.1,5A,,,,,
,,,,,,,,,,G,03,,CONN,,,,,,X,,,,
,,,,,,,,,,H,03,,CONN,,,,,,X,,,,
,,,,,,,,,,J,03,,DFW,0370237,S4,,37.11.04.1,4F,,,,,
,,,,,,,,,,K,03,,DFW,0370237,S4,,37.11.04.1,2F,,,,,
,,,,,,,,,,A,04,B,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,B,04,A,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,C,04,D,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,D,04,C,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,E,04,,DFY,0370239,,,32.11.01.1,1I,,,,,
,,,,,,,,,,F,04,,DFY,0370239,,,34.11.01.1,4A,,,,,
,,,,,,,,,,G,04,,CONN,,,,,,X,,,,
,,,,,,,,,,H,04,,CONN,,,,,,X,,,,
,,,,,,,,,,J,04,,DFW,0370237,S4,,37.11.04.1,4E,,,,,
,,,,,,,,,,K,04,,DFW,0370237,S4,,37.11.04.1,2E,,,,,
,,,,,,,,,,A,05,B,1107,0536456,,,32.12.05.1,2D,,,,DOUBLE CAR,
,,,,,,,,,,A,05,B,1107,0536456,,,32.12.05.1,2E,,,,DOUBLE CAR,
,,,,,,,,,,B,05,A,1107,0536456,,,,,X,,,DOUBLE CAR,
,,,,,,,,,,C,05,D,1107,0536456,,,34.12.03.1,2G,,,,DOUBLE CAR,
,,,,,,,,,,C,05,D,1107,0536456,,,34.12.03.1,2H,,,,DOUBLE CAR,
,,,,,,,,,,D,05,C,1107,0536456,,,,,X,,,DOUBLE CAR,
,,,,,,,,,,E,05,,DFY,0370239,,,32.11.01.1,5G,,,,,
,,,,,,,,,,F,05,,DFY,0370239,,,34.11.01.1,2C,,,,,
,,,,,,,,,,G,05,,CONN,,,,,,X,,,,
,,,,,,,,,,H,05,,CONN,,,,,,X,,,,
,,,,,,,,,,J,05,,DFW,0370237,S4,,37.11.04.1,4D,,,,,
,,,,,,,,,,K,05,,DFW,0370237,S4,,37.11.04.1,2D,,,,,
,,,,,,,,,,A,06,B,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,B,06,A,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,C,06,D,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,D,06,C,1107,0536456,,,,,X,,,OVER HANG,
,,,,,,,,,,E,06,,DFY,0370239,,,32.11.01.1,4G,,,,,
,,,,,,,,,,F,06,,DFY,0370239,,,34.11.01.1,1C,,,,,
,,,,,,,,,,G,06,,RESERVED,,,,,,X,,,SPEC ENG,
,,,,,,,,,,H,06,,CONN,,,,,,X,,,,
,,,,,,,,,,J,06,,DFW,0370237,S4,,37.11.04.1,4C,,,,,
