Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,IX,5327093,253468,25.04.03.0,8841,1411,B,B,4,A,01,,CONN,,,,,,X,,,,
,,,,,,,,,,B,01,,CONN,,,,,,X,,,,
,,,,,,,,,,C,01,,DHN,0370415,,,39.10.03.1,2G,,,,,
,,,,,,,,,,C,01,,DHN,0370415,,,39.10.03.1,3F,,,,,
,,,,,,,,,,D,01,,CONN,,,,,,X,,,,
,,,,,,,,,,E,01,,DEG,0370217,,,31.10.01.1,2E,,,,,
,,,,,,,,,,E,01,,DEG,0370217,,,31.10.01.1,2F,,,,,
,,,,,,,,,,E,01,,DEG,0370217,,,31.10.01.1,4G,,,,,
,,,,,,,,,,E,01,,DEG,0370217,,,31.10.01.1,4H,,,,,
,,,,,,,,,,F,01,,CONN,,,,,,X,,,,
,,,,,,,,,,G,01,,CONN,,,,,,X,,,,
,,,,,,,,,,H,01,,CONN,,,,,,X,,,,
,,,,,,,,,,J,01,,CONN,,,,,,X,,,,
,,,,,,,,,,K,01,,RESERVED,,,,,,X,,,SPEC ENG,
,,,,,,,,,,A,02,,CONN,,,,,,X,,,1301,
,,,,,,,,,,B,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,C,02,,EMPTY,,,,,,X,,,,
,,,,,,,,,,D,02,,RESERVED,,,,,,X,,,SPEC ENG,
,,,,,,,,,,E,02,,DFL,0370230,,,31.10.02.1,4A,,,,,Identified Using Sheet
,,,,,,,,,,E,02,,DFL,0370230,,,31.10.02.1,2B,,,,,Identified Using Sheet
,,,,,,,,,,E,02,,DFL,0370230,,,31.10.02.1,4B,,,,,Identified Using Sheet
,,,,,,,,,,E,02,,DFL,0370230,,,31.10.02.1,4C,,,,,Identified Using Sheet
,,,,,,,,,,E,02,,DFL,0370230,,,31.10.02.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,F,02,,CONN,,,,,,X,,,,
,,,,,,,,,,G,02,,CONN,,,,,,X,,,,
,,,,,,,,,,H,02,,CONN,,,,,,X,,,,
,,,,,,,,,,J,02,,CONN,,,,,,X,,,,
,,,,,,,,,,K,02,,RESERVED,,,,,,X,,,SPEC ENG,
