Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,II,5327096,253905,11.04.04.0,8842,1411,C,C,3,A,01,,CABL,,,,11.04.04.3,5A,,,,,
,,,,,,,,,,B,01,,CABL,,,,11.04.04.3,4B,,,,,
,,,,,,,,,,C,01,,9043,,,,12.65.01.1,4F,,,,,Resistor 2.4.K found using sheet
,,,,,,,,,,C,01,,9043,,,,14.71.30.1,4I,,,,,Resistor 2.4.K found using sheet
,,,,,,,,,,D,01,,CABL,,,,11.04.04.3,4C,,,,,
,,,,,,,,,,E,01,,CABL,,,,11.04.04.3,1C,,,,,
,,,,,,,,,,F,01,,CONN,,,,11.04.04.3,3D,,,,,
,,,,,,,,,,G,01,,CONN,,,,11.04.04.3,5E,,,,,
,,,,,,,,,,H,01,,EMPTY,,,X,,,,,,,
,,,,,,,,,,J,01,,DEV,0370214,,,15.60.07.1,3D,,,,,Identified Using Sheet
,,,,,,,,,,J,01,,DEV,0370214,,,15.60.08.1,4C,,,,,Identified Using Sheet
,,,,,,,,,,J,01,,DEV,0370214,,,15.60.08.1,2C,,,,,Identified Using Sheet
,,,,,,,,,,J,01,,DEV,0370214,,,15.60.08.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,J,01,,DEV,0370214,,,15.60.34.1,5B,,,,,Identified Using Sheet
,,,,,,,,,,J,01,,DEV,0370214,,,15.60.34.1,3C,,,,,Identified Using Sheet
,,,,,,,,,,J,01,,DEV,0370214,,,15.60.34.1,5D,,,,,Identified Using Sheet
,,,,,,,,,,K,01,,DFZ,0370241,M0,,15.60.07.1,5C,,,,2 3 4,Feature code hard to read
,,,,,,,,,,A,02,,CABL,,,,11.04.04.3,4A,,,,,
,,,,,,,,,,B,02,,DND,0372127,,,16.11.01.1,4H,,,,,
,,,,,,,,,,B,02,,DND,0372127,,,16.11.03.1,4C,,,,,
,,,,,,,,,,B,02,,DND,0372127,,,16.11.03.1,4E,,,,,
,,,,,,,,,,C,02,,DFS,0370234,,,15.30.02.1,5E,,,,6,Identified Using Sheet
,,,,,,,,,,C,02,,DFS,0370234,,,15.30.03.1,5E,,,,6,Identified Using Sheet
,,,,,,,,,,C,02,,DFS,0370234,,,15.30.04.1,5E,,,,6,Identified Using Sheet
,,,,,,,,,,C,02,,DFS,0370234,,,15.30.05.1,5E,,,,6,Identified Using Sheet
,,,,,,,,,,C,02,,DFS,0370234,,,15.50.04.1,,X,253453,,6,NOT PRESENT ON SHEET
,,,,,,,,,,D,02,,DES,0370202,,,15.39.01.1,5B,,,,,Identified Using Sheet
,,,,,,,,,,D,02,,DES,0370202,,,15.39.01.1,4B,,,,,Identified Using Sheet
,,,,,,,,,,D,02,,DES,0370202,,,15.39.01.1,5C,,,,,Identified Using Sheet
,,,,,,,,,,D,02,,DES,0370202,,,15.39.01.1,5E,,,,,Identified Using Sheet
,,,,,,,,,,D,02,,DES,0370202,,,15.60.06.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,E,02,,EMPTY,,,X,,,,,,,
,,,,,,,,,,F,02,,YLK,0372262,,,15.49.05.1,5C,,,,,Identified Using Sheet
,,,,,,,,,,F,02,,YLK,0372262,,,15.49.05.1,5D,,,,,Identified Using Sheet
,,,,,,,,,,F,02,,YLK,0372262,,,15.49.05.1,5E,,,,,Identified Using Sheet
,,,,,,,,,,F,02,,YLK,0372262,,,15.49.05.1,5I,,,,,Identified Using Sheet
,,,,,,,,,,F,02,,YLK,0372262,,,15.50.10.1,5B,,,,,Identified Using Sheet
,,,,,,,,,,F,02,,YLK,0372262,,,15.50.10.1,5F,,,,,Identified Using Sheet
,,,,,,,,,,G,02,,DMS,0370893,,,15.50.01.1,5A,,,,,
,,,,,,,,,,G,02,,DMS,0370893,,,15.50.01.1,5B,,,,,
,,,,,,,,,,G,02,,DMS,0370893,,,15.50.01.1,5E,,,,,
,,,,,,,,,,G,02,,DMS,0370893,,,15.50.01.1,5F,,,,,
,,,,,,,,,,H,02,,DEA,0371941,,,15.39.07.1,2A,,,,,Identified Using Sheet
,,,,,,,,,,H,02,,DEA,0371941,,,15.39.08.1,2A,,,,,Identified Using Sheet
,,,,,,,,,,H,02,,DEA,0371941,,,15.50.07.1,,X,253453,,,NOT PRESENT ON SHEET
,,,,,,,,,,H,02,,DEA,0371941,,,15.50.07.1,,X,253453,,,NOT PRESENT ON SHEET
,,,,,,,,,,H,02,,DEA,0371941,,,15.50.08.1,,X,253453,,,NOT PRESENT ON SHEET
,,,,,,,,,,H,02,,DEA,0371941,,,15.50.08.1,,X,253453,,,NOT PRESENT ON SHEET
,,,,,,,,,,J,02,,DEW,0370211,,,15.60.01.1,1B,,,,,Identified Using Sheet
,,,,,,,,,,J,02,,DEW,0370211,,,15.60.01.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,J,02,,DEW,0370211,,,15.60.02.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,J,02,,DEW,0370211,,,15.60.03.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,J,02,,DEW,0370211,,,15.60.04.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,J,02,,DEW,0370211,,,15.60.05.1,4D,,,,,Identified Using Sheet
,,,,,,,,,,K,02,,DGA,0370242,,,15.60.01.1,2H,,,,,
,,,,,,,,,,K,02,,DGA,0370242,,,15.60.02.1,2H,,,,,
,,,,,,,,,,K,02,,DGA,0370242,,,15.60.03.1,2H,,,,,
,,,,,,,,,,K,02,,DGA,0370242,,,15.60.04.1,2H,,,,,
,,,,,,,,,,A,03,,CONN,,,,11.04.04.3,3A,,,,,
,,,,,,,,,,B,03,,DMR,0370892,,,16.11.03.1,4G,,,,,
,,,,,,,,,,B,03,,DMR,0370892,,,16.11.04.1,4C,,,,,
,,,,,,,,,,B,03,,DMR,0370892,,,16.12.04.1,4E,,,,,
,,,,,,,,,,C,03,,DFJ,0370232,,,15.30.01.1,5F,,,,9,Identified Using Sheet
,,,,,,,,,,C,03,,DFJ,0370232,,,15.30.02.1,5F,,,,9,Identified Using Sheet
,,,,,,,,,,C,03,,DFJ,0370232,,,15.30.03.1,5F,,,,9,Identified Using Sheet
