Machine Serial,Volume,Drawing P/N,E.C.,Page,Run,Machine,Frame,Gate,Panel,Row,Column,Double Card Height,Card Type,Card P/N,MF 1 Feature Code,Crossed Out,Sheet,Sheet Coordinate,Ignore,Special EC,,Bottom Note?,Notes
Kornylak-2010,II,5327094,253320,11.04.02.0,8849,1411,C,C,1,A,01,,CONN,,,,11.04.02.3,5A,,,,,
,,,,,,,,,,B,01,,CONN,,,,11.04.02.3,5B,,,,,
,,,,,,,,,,C,01,,CONN,,,,11.04.02.3,2B,,,,,
,,,,,,,,,,D,01,,CONN,,,,11.04.02.3,4C,,,,,
,,,,,,,,,,E,01,,CONN,,,,11.04.02.3,1C,,,,,
,,,,,,,,,,F,01,,CONN,,,,11.04.02.3,3D,,,,,
,,,,,,,,,,G,01,,CONN,,,,11.04.02.3,4E,,,,,
,,,,,,,,,,H,01,,CONN,,,,11.04.02.3,1E,,,,,
,,,,,,,,,,J,01,,CONN,,,,11.04.02.3,3F,,,,,
,,,,,,,,,,K,01,,CONN,,,,11.04.02.3,5G,,,,,Clarified using sheet
,,,,,,,,,,A,02,,DEB,0371942,,,12.12.31.1,5E,,,,4 5 6 7 *,
,,,,,,,,,,A,02,,DEB,0371942,,,14.70.11.1,2E,,,,4 5 6 7 *,
,,,,,,,,,,A,02,,DEB,0371942,,,14.70.11.1,2H,,,,4 5 6 7 *,
,,,,,,,,,,B,02,,DHQ,0370503,,,14.71.15.1,2C,,,,,
,,,,,,,,,,B,02,,DHQ,0370503,,,14.71.16.1,2C,,,,,
,,,,,,,,,,B,02,,DHQ,0370503,,,17.71.35.1,1B,,,,,
,,,,,,,,,,B,02,,DHQ,0370503,,,14.71.36.1,1B,,,,,
,,,,,,,,,,C,02,,DAW,0370083,,,12.13.04.1,2G,,,,,
,,,,,,,,,,C,02,,DAW,0370083,,,12.13.04.1,2H,,,,,
,,,,,,,,,,C,02,,DAW,0370083,,,12.13.04.1,2I,,,,,
,,,,,,,,,,D,02,,RESERVED,,,X,,,,,,1311,
,,,,,,,,,,E,02,,YLF,0372293,,,12.12.23.1,4A,,,,,
,,,,,,,,,,E,02,,YLF,0372293,,,14.70.13.1,4A,,,,,
,,,,,,,,,,E,02,,YLF,0372293,,,14.71.10.1,5D,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,5B,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,3B,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,5C,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,4C,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,3C,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,2C,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,4E,,,,,
,,,,,,,,,,F,02,,DHP,0370502,,,14.71.03.1,2E,,,,,
,,,,,,,,,,G,02,,DFS,0370234,,,12.12.31.1,2B,,,,7 8,
,,,,,,,,,,G,02,,DFS,0370234,,,12.12.31.1,3E,,,,7 8,
,,,,,,,,,,G,02,,DFS,0370234,,,12.13.07.1,1B,,,,7 8,
,,,,,,,,,,G,02,,DFS,0370234,,,12.13.07.1,1C,,,,7 8,
,,,,,,,,,,G,02,,DFS,0370234,,,12.30.03.1,1E,,,,7 8,
,,,,,,,,,,H,02,,DAC,0371951,,,11.20.08.1,5H,,,,,
,,,,,,,,,,H,02,,DAC,0371951,,,11.20.09.1,5F,,,,,
,,,,,,,,,,H,02,,DAC,0371951,,,12.12.32.1,4A,,,,,
,,,,,,,,,,J,02,,DEL,0370221,,,12.12.46.1,1E,,,,,
,,,,,,,,,,J,02,,DEL,0370221,,,12.12.46.1,2D,,,,,
,,,,,,,,,,K,02,,CABL,,,,11.04.02.3,4G,,,,,Clarified using sheet
,,,,,,,,,,A,03,,DFE,0370201,,,12.13.04.1,4H,,,,,
,,,,,,,,,,A,03,,DFE,0370201,,,12.13.04.1,4I,,,,,
,,,,,,,,,,A,03,,DFE,0370201,,,14.70.10.1`,5C,,,,,
,,,,,,,,,,A,03,,DFE,0370201,,,14.71.33.1,4I,,,,,
,,,,,,,,,,B,03,,TAU,0370129,,,12.12.43.1,1E,,,,,
,,,,,,,,,,B,03,,TAU,0370129,,,12.12.43.1,2E,,,,,
,,,,,,,,,,B,03,,TAU,0370129,,,12.12.31.1,2A,,,,,
,,,,,,,,,,B,03,,TAU,0370129,,,12.12.46.1,2B,,,,,
,,,,,,,,,,C,03,,DES,0370202,,,14.71.30.1,3B,,,,,
,,,,,,,,,,C,03,,DES,0370202,,,14.71.30.1,5C,,,,,
,,,,,,,,,,C,03,,DES,0370202,,,14.71.30.1,4C,,,,,
,,,,,,,,,,C,03,,DES,0370202,,,14.71.30.1,5D,,,,,
,,,,,,,,,,C,03,,DES,0370202,,,14.71.30.1,5E,,,,,
,,,,,,,,,,D,03,,AEK,0370215,,,12.12.07.1,2B,,,,,
,,,,,,,,,,D,03,,AEK,0370215,,,14.70.13.1,3A,,,,,
,,,,,,,,,,D,03,,AEK,0370215,,,14.71.61.1,3E,,,,,
,,,,,,,,,,E,03,,DFS,0370234,,,12.12.07.1,3F,,,,8,
,,,,,,,,,,E,03,,DFS,0370234,,,14.70.01.1,3E,,,,8,
,,,,,,,,,,E,03,,DFS,0370234,,,14.70.01.1,3F,,,,8,
,,,,,,,,,,E,03,,DFS,0370234,,,14.70.04.1,4G,,,,8,
,,,,,,,,,,E,03,,DFS,0370234,,,14.71.51.1,4A,,,,8,
,,,,,,,,,,F,03,,DAW,0370083,,,12.12.44.1,2G,,,,,
,,,,,,,,,,F,03,,DAW,0370083,,,12.12.44.1,2H,,,,,
,,,,,,,,,,F,03,,DAW,0370083,,,12.12.44.1,4H,,,,,
,,,,,,,,,,G,03,,DFE,0370201,,,12.12.30.1,5G,,,,,
,,,,,,,,,,G,03,,DFE,0370201,,,12.12.44.1,2C,,,,,
,,,,,,,,,,G,03,,DFE,0370201,,,12.12.44.1,2E,,,,,
,,,,,,,,,,G,03,,DFE,0370201,,,12.12.44.1,4C,,,,,
,,,,,,,,,,H,03,,DFK,0370231,,,11.20.2.1,2A,,,,3,
,,,,,,,,,,H,03,,DFK,0370231,,,11.20.08.1,2E,,,,3,
,,,,,,,,,,H,03,,DFK,0370231,,,12.12.04.1,2E,,,,3,
,,,,,,,,,,H,03,,DFK,0370231,,,12.12.43.1,3E,,,,3,
,,,,,,,,,,H,03,,DFK,0370231,,,12.12.46.1,3B,,,,3,
,,,,,,,,,,H,03,,DFK,0370231,,,12.13.03.1,2B,,,,3,
,,,,,,,,,,J,03,,DAC,0371951,,,12.12.05.1,5E,,,,4,
,,,,,,,,,,J,03,,DAC,0371951,,,12.12.46.1,1D,,,,4,
,,,,,,,,,,J,03,,DAC,0371951,,,12.13.01.1,3H,,,,4,
,,,,,,,,,,J,03,,DAC,0371951,,,12.13.03.1,5C,,,,4,
,,,,,,,,,,K,03,,CONN,,,,11.04.02.3,3G,,,,,
,,,,,,,,,,A,04,,DFB,0370206,,,12.12.02.1,3E,,,,,
,,,,,,,,,,A,04,,DFB,0370206,,,12.12.02.1,4F,,,,,
,,,,,,,,,,A,04,,DFB,0370206,,,12.12.07.1,4E,,,,,
,,,,,,,,,,A,04,,DFB,0370206,,,12.12.07.1,5F,,,,,
,,,,,,,,,,A,04,,DFB,0370206,,,14.70.10.1,1B,,,,,
,,,,,,,,,,A,04,,DFB,0370206,,,14.70.10.1,2B,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,2B,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,4B,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,1C,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,2C,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,3C,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,4C,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,1D,,,,,
,,,,,,,,,,B,04,,DHP,0370502,,,14.71.04.1,2D,,,,,
,,,,,,,,,,C,04,,DFG,0370209,,,12.12.44.1,4G,,,,,
,,,,,,,,,,C,04,,DFG,0370209,,,14.71.32.1,3G,,,,,
,,,,,,,,,,C,04,,DFG,0370209,,,14.71.32.1,4G,,,,,
,,,,,,,,,,C,04,,DFG,0370209,,,14.71.32.1,4H,,,,,
,,,,,,,,,,C,04,,DFG,0370209,,,14.71.61.1,5A,,,,,
,,,,,,,,,,D,04,,DEY,0370208,,,14.70.02.1,4G,,,,,
,,,,,,,,,,D,04,,DEY,0370208,,,14.70.02.1,5G,,,,,
,,,,,,,,,,D,04,,DEY,0370208,,,14.70.02.1,4H,,,,,
,,,,,,,,,,D,04,,DEY,0370208,,,14.70.02.1,5H,,,,,
,,,,,,,,,,D,04,,DEY,0370208,,,14.71.30.1,3C,,,,,
,,,,,,,,,,E,04,,DGR,0370258,L10,X,14.71.60.1,2C,,,,2 3 4 *,
,,,,,,,,,,E,04,,DGR,0370258,L10,X,14.71.60.1,4C,,,,2 3 4 *,
,,,,,,,,,,F,04,,DAX,0370084,,,12.12.44.1,2I,,,,5,
,,,,,,,,,,F,04,,DAX,0370084,,,12.12.44.1,4F,,,,5,
,,,,,,,,,,F,04,,DAX,0370084,,,12.13.02.1,1I,,,,5,
,,,,,,,,,,F,04,,DAX,0370084,,,14.71.31.1,2A,,,,5,
,,,,,,,,,,G,04,,TAU,0370129,Z0,,12.12.32.1,4H,,,,5,
,,,,,,,,,,G,04,,TAU,0370129,Z0,,12.12.45.1,5D,,,,5,
,,,,,,,,,,G,04,,TAU,0370129,Z0,,12.50.01.1,5C,,,,5,
,,,,,,,,,,G,04,,TAU,0370129,Z0,,14.71.31.1,3F,,,,5,
,,,,,,,,,,H,04,,DFB,0370206,,,12.12.46.1,1G,,,,,
,,,,,,,,,,H,04,,DFB,0370206,,,12.12.46.1,2G,,,,,
,,,,,,,,,,H,04,,DFB,0370206,,,12.13.03.1,3B,,,,,
,,,,,,,,,,H,04,,DFB,0370206,,,12.13.03.1,5B,,,,,
,,,,,,,,,,H,04,,DFB,0370206,,,12.13.03.1,3G,,,,,
,,,,,,,,,,H,04,,DFB,0370206,,,12.13.03.1,4G,,,,,
,,,,,,,,,,J,04,,DAC,0371951,,,12.12.46.1,1C,,,,4,
,,,,,,,,,,J,04,,DAC,0371951,,,12.13.02.1,1A,,,,4,
,,,,,,,,,,J,04,,DAC,0371951,,,12.13.02.1,4B,,,,4,
,,,,,,,,,,K,04,,CONN,,,,11.04.02.3,2G,,,,,
,,,,,,,,,,A,05,,DFS,0370234,,,14.70.11.1,2D,,,,6 7 8,
,,,,,,,,,,A,05,,DFS,0370234,,,14.70.11.1,2G,,,,6 7 8,
,,,,,,,,,,A,05,,DFS,0370234,,,14.71.23.1,2F,,,,6 7 8,
,,,,,,,,,,A,05,,DFS,0370234,,,14.71.24.1,2F,,,,6 7 8,
,,,,,,,,,,A,05,,DFS,0370234,,,14.71.61.1,3C,,,,6 7 8,
